question,company,rating,position,date,comments
Décrivez moi les étapes d'un projet Data science ?,Interviewed at Linedata,3.3,Appenti analyst data scientist,26 Sept 2021,1
case study,Interviewed at DoorDash,3.6,Data Analyst,7 Jul 2020,1
name a time you were pressured,Interviewed at Apple,4.1,Data Analyst,26 Apr 2023,1
I was asked how I would hack into the network using the phone that was on the desk.,Interviewed at L Brands,3.7,Senior Data Security Analyst,30 Aug 2012,1
El día a día en mi puesto actual,Interviewed at Nestlé,4.1,Master Data Analyst,3 Sept 2023,1
Sponsorship,Interviewed at CyberCoders,4.0,Data Analyst,28 Sept 2018,1
We see you have experience in another aea of our company. Convince us you won't want to move to that sector after completing this fixed term position.,Interviewed at British Antarctic Survey,4.0,Data Analyst,14 Aug 2020,1
How did you solve problems in your past project?,Interviewed at ByteDance,3.6,Data Analyst,8 Apr 2021,1
"A company has introduced a new feature for a product for a month, how do you evaluate the feature?",Interviewed at ByteDance,3.6,Data Analyst,7 Apr 2020,1
"product questions
how to improve
what‘s your favourite product......",Interviewed at ByteDance,3.6,Data Analyst,1 Jul 2020,1
What items would you take with you if you were shipwrecked?,Interviewed at United Kingdom Hydrographic Office,4.0,Geospatial Data Analyst,22 Sept 2022,1
It was a case study on their products,Interviewed at BAE Systems,3.9,Data Analyst,11 Feb 2013,1
Do you consider yourself a millennial?,Interviewed at Tempus AI,3.1,Junior Data Analyst,2 Feb 2022,1
Q: What are you skills and experience?,Interviewed at Edward Jones,3.7,Data Analyst,13 Jul 2022,1
Q: Describe your prior experiences outline on your resume.,Interviewed at Tempus AI,3.1,Clinical Data Analyst,15 Sept 2021,1
Walk through Excel spreadsheet and justify assumptions. Interview also had a case study to examine approaches to producing reports to a busy executive.,Interviewed at Agoda,4.0,Data Analyst,21 Aug 2018,1
What kind of job do you really want?,Interviewed at Amaris Consulting,3.5,Data Analyst,3 Nov 2018,1
Tell me something about your internship,Interviewed at WTW,3.8,Data Analyst,15 Sept 2023,1
Difficult questions were mainly about data modeling concepts (which is not my forte). They gave a business use case of how I would store data coming from different point of sales.,Interviewed at Parexel,4.0,Data Analyst,30 Aug 2013,1
"All questions were related to past experience using Excel (formulas, macros, PivotTables, etc.) and SQL (skill level, query creation, SSIS, etc.).",Interviewed at IQVIA,3.8,Senior Data Analyst,8 Dec 2016,1
4. What are projects you've completed using different these  different technologies or languages?,Interviewed at PriceSpider,3.7,Data Analyst I,15 May 2022,1
What you come here to have an internship?,Interviewed at KAYAK,4.5,Data Analyst,20 Jul 2015,1
About my degree and other qualifications.,Interviewed at Munich Re,4.1,Data Analyst,30 Mar 2019,1
Tell me about your XX project.,Interviewed at Equifax,3.5,Data Analyst Intern,29 Oct 2024,1
were you want to see yourself after 5 years?,Interviewed at GlobalLogic,3.9,Data Analyst,12 Sept 2015,1
Asked me about details of my intern. How is it related to this position.,Interviewed at IQVIA,3.8,Data Analyst,8 Jun 2015,1
"tell me about your currect role and responsibility.
Why you want to join our company?
why you are leaving your current company?",Interviewed at Parexel,4.0,Senior Clinical Data Analyst,30 Nov 2017,1
What software are you most comfortable working with?,Interviewed at Honey,4.4,Data Analyst,10 Aug 2018,1
SQL Join of multiple tables to calculate metric in a text editor.,Interviewed at Hopper,2.9,Data Analyst,9 Sept 2021,1
They asked how my current position would handle things without me.,Interviewed at ConnectiCare,3.6,Data Analyst,12 Aug 2021,1
"they asked me questions related to financial indicators and business examples of the area but not directly related to the position, they asked the questions as if you were already working with them and were familiar with their dashboards and what you see daily, they were looking for a very specific profile and I will never forget the smug attitude of the guy in the last interview, they do not pay for what they are looking for, so do not waste your time.",Interviewed at Hopper,2.9,Data Analyst,27 May 2022,1
Tell me about yourself,Interviewed at BNY,3.5,Data Analyst,13 Jun 2017,1
Do you consider yourself better than your friends in terms of skills,Interviewed at Lowe's Home Improvement,4.2,Data Analyst,19 Jul 2024,1
"what is more likely to be an fraud? 
an American credit card that was charged somewhere else in the world, or the opposite option",Interviewed at Forter,4.2,Student Data Analyst,9 Dec 2024,1
How would you lead your team for a particular task ?,Interviewed at Decathlon,4.0,Junior Data Analyst,7 Dec 2020,1
"Harry is taller than Larry, Larry is not shorter than John. So is ""John taller than Harry"" TRUE or FALSE",Interviewed at G2,3.9,Data Analyst,22 Nov 2017,1
Why do you want to work at Macquarie?,Interviewed at Macquarie Group,3.8,Data Insights Analyst,17 Nov 2023,1
What do you know about the Houston Food Bank,Interviewed at Houston Food Bank,3.4,Data Analyst,29 Nov 2023,1
"Tech questions: diff between Where and having, question on order os execution of queries.",Interviewed at Magellan Health,3.3,CX Data Analyst,17 Mar 2025,1
What is my SQL knowledge?,Interviewed at TomTom,3.9,Data Analyst Intern,18 May 2017,1
They used the star method,Interviewed at Virginia Mason Franciscan Health,3.5,Data Analyst,23 Feb 2022,1
Michelle told me that the previous question was insufficient and in that example I did not portray myself in the way she had expected so she asked me for a second example of where I got something wrong and had to fix the problem.,Interviewed at Precoa,4.0,Data Analyst - Strategy,26 Oct 2019,1
How to produce a query/ies in analytical tools?,Interviewed at Nestlé,4.1,Marketing Data Analyst,4 Jun 2020,1
Follow these examples and analyze test questions,Interviewed at BenchSci,2.7,Biomedical Data Analyst,19 Oct 2020,1
Which technologies were you using in your previous company?,Interviewed at TomTom,3.9,HR Data Analyst,25 Jun 2019,1
Nothing was difficult than the inexperienced panel's approach,Interviewed at Tredence,4.0,Data Analyst,9 Apr 2017,1
SQL questions and questions to better understand how you manage stakeholders.,Interviewed at Prodigy Education,3.1,Senior Data Analyst,1 Jul 2021,1
On Which project did you worked in machine learning?,Interviewed at Axtria,3.4,Data Analyst,12 Dec 2023,1
"Q:  Assuming that you get this job and like it, what would it take for another organization to poach you / hire you away from us in another few years?",Interviewed at CARFAX,4.0,Business Data Analyst,4 Mar 2016,1
what is your longterm goal?,Interviewed at EY,3.7,Data Analyst,5 Jan 2011,1
Have you ever worked in a team? (Stupidest question ever),Interviewed at Cushman & Wakefield,4.0,Data Analyst,3 Nov 2023,1
Measure difference between delete and truncate,Interviewed at EY,3.7,Data Analyst,21 Jan 2024,1
Talks about the most recent project and job experience.,Interviewed at Apex Systems,3.8,Data Analyst,26 Apr 2024,1
"They asked me ""why EY""? Why did you choose to apply to ey as a company?",Interviewed at EY,3.7,Data Analyst,11 May 2024,1
How to perform unpivot,Interviewed at Neustar,4.1,Data Analyst,22 Jan 2019,1
Why did you choose to go to the college you did over the other college in your state?,Interviewed at Commerce Bank,3.8,Data Analyst,5 Jan 2023,1
"Really, there were no questions. Some really basic behavioural questions (STAR format) and questions about career background/goals. 

The ""technical"" questions were high-level and easily understandable; the second interview was completely unnecessary because a short online evaluation would have sufficed and been better.

I don't believe the interview process was adequate enough to determine how qualified a candidate is and it seemed they were aiming more for someone who ""fits"" into their organization at a more holistic level.  So, ultimately, it was a waste of my time.",Interviewed at Relay (Canada),4.4,Data Analyst,29 Oct 2021,1
"Basic behavioral. Dropbox has a good rep in the tech industry so I was very surprised to find out how disorganized and unprofessional the recruiting process was. Before you apply for an internship position at Dropbox, I'd advise you to think twice",Interviewed at Dropbox,4.0,Data Analyst Intern,5 Feb 2021,1
Debug a counterintuitive numerical result in a hypothetical company selling caviar/roe subscriptions,Interviewed at Dandy (NY),3.4,Data Analyst,27 Jul 2021,1
Why do you want to work here?,Interviewed at Ascension,3.4,Master Data Analyst,20 Dec 2018,1
Q; Case study - what would be my approach to a problem solved previously by the company. The case study was data-analysis-related.,Interviewed at EY,3.7,Junior Data Analyst,29 May 2017,1
Are you okay with working overtime?,Interviewed at Charles River Laboratories,3.1,Data Analyst,14 Jul 2023,1
"Explain the differences between INNER JOIN, LEFT JOIN, and RIGHT JOIN?
How would you find duplicate records in a table?",Interviewed at EY,3.7,Data Analyst Intern,20 Nov 2023,1
Where do you see yourself in 5 years,Interviewed at SHI International,3.1,Data Analyst,29 Jul 2016,1
Do you prefer routine or diverse daily activities,Interviewed at Caterpillar,4.1,Data Analyst,2 Jun 2017,1
how many tennis balls are required to fill a room??,Interviewed at eClerx,3.4,Data Analyst,7 Feb 2017,1
"Technical experience, comfortability with software suites",Interviewed at Ascension,3.4,Data Analyst,4 Feb 2020,1
"tell me about yourself and your experiences in coursework or jobs. Given all of the data that the company has to offer, what would I change about the company. What makes a good data analyst",Interviewed at T-Mobile,3.7,Data Analyst Internship,17 Nov 2022,1
What is an accounting equation?,Interviewed at S&P Global,4.1,Data Analyst,24 Oct 2021,1
General Behavioral and Targeted Selection with a STAR answer format.,Interviewed at Progressive Insurance,3.9,Senior Data Analyst,10 Mar 2023,1
How did you proceed to create the most important KPI's in your recent position?,Interviewed at Richemont,4.1,Data &amp; Risk Analyst,30 Jan 2024,1
Pourquoi postuler chez nous ?,Interviewed at Valtech,3.8,Data Analyst,22 Apr 2021,1
Are you familiar with loan level data?,Interviewed at dv01,4.7,Data Analyst,17 Jan 2020,1
How do you handle a huge amount workload?,Interviewed at Westat,3.4,Data Entry/Analyst,13 Oct 2023,1
When have you had a novel idea about a work process?,Interviewed at EY,3.7,Data Analyst Graduate Programmer,17 Apr 2017,1
People say that regulations are too strict. What are your thoughts on this?,Interviewed at EY,3.7,Data Analyst,18 Jan 2018,1
They only went through my resume in all the 3 rounds. Each manager focused on a specific part of my resume,Interviewed at EY,3.7,Data Analyst,25 Jan 2018,1
"1. What is ITIL?
2. Please describe the ITIL incident maangement process.",Interviewed at TTEC,3.3,Data Analyst,12 Oct 2016,1
Case study discussing a bank merger,Interviewed at EY,3.7,Data Analyst,23 Jul 2019,1
What is something about you that isn't in your CV?,Interviewed at EY,3.7,Data Analyst,3 Sept 2019,1
What are the financial pieces of Real estate industry,Interviewed at Cushman & Wakefield,4.0,Data Analyst,16 Oct 2019,1
What kind of job do you really want?,Interviewed at Amaris Consulting,3.5,Data Analyst,3 Nov 2018,1
"product questions
how to improve
what‘s your favourite product......",Interviewed at ByteDance,3.6,Data Analyst,1 Jul 2020,1
How did you solve problems in your past project?,Interviewed at ByteDance,3.6,Data Analyst,8 Apr 2021,1
"A company has introduced a new feature for a product for a month, how do you evaluate the feature?",Interviewed at ByteDance,3.6,Data Analyst,7 Apr 2020,1
"1) Why I want to be an Analyst?
2) Where have you worked?
3.1) Why you want to work in BT? 
3.2) No, Why you want to work in BT?
3.3) Those are NOT reasons to work here. What's the reason or reasons?",Interviewed at BT Group,3.7,Digital Data Insight Analyst,27 Feb 2016,1
Given there are odd numbers from 3 to 99. Choose any 5 numbers that add up to 74,Interviewed at Tredence,4.0,Data Analyst,11 Aug 2023,1
How many blinks are there on the Circle Line at 10am?,Interviewed at BT Group,3.7,Senior Data Analyst,16 Oct 2020,1
"If you had a 5% dip in sales conversion, as a marketing data analyst lead, can you tell me why? -3rd round interview with exec",Interviewed at PandaDoc,3.5,Data Analyst,8 Jan 2022,1
"Best place to start you career , very good training, Personal growth , lot of opportunities to learn new tools and technology ,Onsite opportunities.",Interviewed at iServeU (India),4.0,Data Analyst,26 Apr 2021,1
What tools did you use for this project?,Interviewed at ABB,4.0,Data Analyst,8 Feb 2022,1
I was asked how I would hack into the network using the phone that was on the desk.,Interviewed at L Brands,3.7,Senior Data Security Analyst,30 Aug 2012,1
Q: Describe your prior experiences outline on your resume.,Interviewed at Tempus AI,3.1,Clinical Data Analyst,15 Sept 2021,1
Would you like to work within a team or individually?,Interviewed at Whirlpool Corporation,3.7,Junior Data Analyst,15 Sept 2018,1
We see you have experience in another aea of our company. Convince us you won't want to move to that sector after completing this fixed term position.,Interviewed at British Antarctic Survey,4.0,Data Analyst,14 Aug 2020,1
Tell me something about your internship,Interviewed at WTW,3.8,Data Analyst,15 Sept 2023,1
"Q: What do you know about FINRA?
Q:  Tell me about your greatest accomplishment (work related)
Q: How would you engage and disengage yourself from repetitive tasks?",Interviewed at FINRA,4.3,Data Analyst (Corporate Actions),8 Dec 2020,1
"Situational questions mainly, there was many questions of the form “tell us about a time when...”",Interviewed at American Express,4.1,Data Analyst,24 Jan 2021,1
Tell me about yourself and your background?,Interviewed at Simply Business,3.9,Data Analyst,6 Mar 2023,1
"Wonderlic exam. Questions were asked that were not on the 'Wonderlic' practice exam (found online). Compare proverbs, which mean the same? Which are different? 

I think there were five math questions, which makes no sense since I was interviewing for a Data Analyst position (statistics and computer programming).",Interviewed at Altisource,3.2,Data Analyst,20 Apr 2016,1
Why was I leaving my current job,Interviewed at Iron Bow Technologies,4.0,Data Analyst,21 Sept 2018,1
Build a complex SQL query o their online code editor,Interviewed at Udacity,4.0,Data Analyst,4 Oct 2018,1
"¿Cómo te definirías?
¿Qué experiencia tienes con *inserta tecnología de tu currículum*?
¿Cuál es tu nivel de inglés?
Me plantearon un problema teórico sobre negocios.",Interviewed at SDG Group,3.8,Junior Data Analyst,4 Oct 2021,1
What is the probability that four people have birthdays in four different seasons?,Interviewed at DraftKings,4.0,Business Data Analyst Intern,6 Jul 2020,1
"2 coding question (average)
40 questions to test your analytical skill",Interviewed at American Express,4.1,Data Analyst,1 Dec 2021,1
Am I comfortable providing leadership and mentorship to junior members of the team.,Interviewed at Luno,4.4,Senior Data Analyst,9 Jul 2024,1
What makes you a qualifiable candidate for this position?,Interviewed at Collabera,4.0,Data Analyst,31 May 2019,1
Rate your programming proficiency on a scale of 1 - 10,Interviewed at Point72,4.0,Data Analyst,31 Aug 2019,1
Why shouldn’t you use time series data in regression analysis,Interviewed at Delek US,3.5,Data Analyst,26 Sept 2019,1
Are you familiar with Google analytics,Interviewed at JFrog,4.1,Support Data Analyst,27 Jun 2022,1
"It was about my current role, whether if I get along with my managers, my responsibilities, etc.",Interviewed at Axos Bank,3.1,Data Analyst,11 Feb 2023,1
why uber? questions about resume,Interviewed at Uber,3.8,Global Data Analyst,10 Nov 2015,1
Explain about your background related to data analysis,Interviewed at Textron Aviation,3.9,Data Analyst,4 Oct 2023,1
How can we stop overfitting in case of decison trees.,Interviewed at EXL Service,3.5,Data Analyst,27 Aug 2019,1
Dax formula for Power BI to calculate the conversion rate of calls made?,Interviewed at Globalfaces Direct,2.7,Data Analyst,6 Feb 2024,1
tell me about your hobbies.,Interviewed at EXL Service,3.5,Data Analyst,7 Nov 2017,1
Test your SQL and Excel skills,Interviewed at Uber,3.8,Data Analyst,3 Nov 2021,1
"sas code ,
you have account_id, amount, emi,  pay_date variable.
how can retrieve data if sum of six month amount < sum of two month emi;",Interviewed at EXL Service,3.5,Data Analyst,9 Jun 2022,1
what is your highlight and lowlight in your previous work,Interviewed at Globalfaces Direct,2.7,Junior Data Analyst,5 Dec 2018,1
Have you worked on SQL?,Interviewed at Uber,3.8,Data Analyst,5 May 2017,1
"If Uber gave you $100,000,000 to develop a new product line, what would you do?",Interviewed at Uber,3.8,Data Analyst,2 Jun 2017,1
Q. Do you eat mango by peeling or cutting?,Interviewed at HSBC,3.9,Data Analyst,22 Mar 2023,1
Tell me about yourself in detail,Interviewed at HCLTech,3.5,Data Analyst,28 Jun 2023,1
"1.based on current scenario , roles and responsibilities , technical knowledge check",Interviewed at HCLTech,3.5,Data Analyst,29 May 2023,1
what is the best way you handle working on multiple tasks?,Interviewed at HCLTech,3.5,Data Analyst,26 Jul 2023,1
They will test your numerical reasoning and response to scenarios within a working environment.,Interviewed at Lloyds Banking Group,3.6,Data Analyst Apprenticeship,30 Nov 2020,1
Q: What's the difference between UNION & UNION ALL?,Interviewed at Binance,3.4,Data Analyst,20 Jul 2021,1
Do you know what V look-up is?,Interviewed at BNP Paribas,3.8,Data Analyst,20 Oct 2022,1
Can you tell me a time that you worked on a team? Can you tell me about a time you overcame a difficult work situation? Can you descirbe a time that you had to use your data analytics skills?,Interviewed at The Very Group,4.1,Data Analyst Intern,26 Oct 2023,1
How would you use a database to search for a certain actor's films?,Interviewed at Clearwater Analytics,3.5,Internal Data Analyst,16 Jun 2016,1
"""Pode me contar mais sobre sua experiência profissional e como ela se relaciona com as responsabilidades desta posição?""",Interviewed at Randstad,3.7,Data Analyst,11 Mar 2024,1
difference between win10 and win?,Interviewed at Infosys,3.6,Data Analyst,20 Dec 2023,1
Tools you’ve used in data analysis,Interviewed at U.S. Bank,3.5,Data Analyst,21 Dec 2024,1
"One key question they asked in the data analyst interview was: ""Can you walk us through a complex dataset you’ve worked with, the challenges you faced, and how you derived actionable insights?""",Interviewed at Cognizant Technology Solutions,3.6,Data Analyst,13 Feb 2025,1
Come organizzeresti una ricerca di mercato per confrontare quale versione di una feature tra A e B funziona meglio?,Interviewed at Satispay,3.6,Data Analyst,27 Jan 2025,1
Avez vous une fois utilisé SAS?,Interviewed at Crédit Agricole,3.8,Data Analyst,20 Jun 2024,1
"If you look at the clock and the time is 3:15, what is the angle between the hours and the minutes hands?",Interviewed at Clearwater Analytics,3.5,Data Operations Analyst,23 Apr 2018,1
What is the difference between depreciation and amortization?,Interviewed at Moody's,3.9,Financial Data Analyst,21 Apr 2015,1
Can you name an off balance sheet liability?,Interviewed at Moody's,3.9,Financial Data Analyst,21 Apr 2015,1
How you get the analysis,Interviewed at Anheuser-Busch InBev,3.6,Data Analyst,19 Jul 2022,1
Why are you keen on data analytics,Interviewed at Royal Bank of Scotland International,4.0,Data Analyst,30 Sept 2020,1
How do you deal with outlines,Interviewed at Anheuser-Busch InBev,3.6,Data Analyst Intern,28 Feb 2017,1
"Round 1: Guesstimates and SQL questions
Round 2: SQL and Python
Round 3: Several Case Studies based on business problems
Round 4: General HR questions",Interviewed at Myntra,3.7,Data Analyst,26 Nov 2020,1
They asked me salary expectation,Interviewed at Publicis Sapient,3.6,Data Analyst,24 Feb 2024,1
What do you know about Keyence,Interviewed at Keyence,3.8,Data Analyst,5 Nov 2017,1
SQL questions on BigQuery with GCP,Interviewed at efood,3.5,Data Analyst,11 Jun 2021,1
But unfortunately i rejected in writien exam,Interviewed at NTT DATA,3.8,Data Analyst,26 Aug 2023,1
How do you optimise dashboard with huge data source,Interviewed at Dyson,3.0,Senior Data Analyst,27 Dec 2023,1
Why PA?,Interviewed at PA Consulting,3.7,Business Intelligence and Data Analytics Analyst,13 Mar 2018,1
"Interview with team leader: give examples of projects where you've shown technical/analytical skills? What KPIs would you use to monitor JT's performance? in particular, how would you evaluate employee satisfaction? (these last questions might change according to your past experience or interviewer)",Interviewed at Job&Talent,4.1,Data Analyst,17 Dec 2021,1
About yourself and company and the job role you are applying for.,Interviewed at Apexon,4.2,Data Analyst,6 Oct 2015,1
What is the most complex query you have written,Interviewed at Birdie (United Kingdom),4.5,Data Analyst,13 Aug 2019,1
"My technical interview was based on my CV. 
The interviewer asked me basic questions from SQL, Python, DBMS. 
After that he asked me fundamental concepts of Hadoop, ML which was mentioned in my CV. 
AT the end they asked me a silly question ""how can you send email using python?"" ,which I was well prepared to answer.",Interviewed at Wipro,3.6,Data Analyst,2 Oct 2019,1
Suppose if you got an unexpected trouble during the work how will you troubleshoot the same ?,Interviewed at Growisto,4.1,Data Analyst,4 Mar 2020,1
"Use SQL partitioning functions, long inner joins, find percentiles, work with datetime objects, extract values from datetime objects etc...",Interviewed at Revolut,3.8,Data Analyst,5 Mar 2020,1
"Tell us about your last job, your duties/responsibilities, and what you accomplished?",Interviewed at Walmart,3.4,Data Analyst,12 May 2020,1
The most difficult question would be what is my worst mistake and how did I learn from it?,Interviewed at Northrop Grumman,3.9,Data Analyst,3 Feb 2013,1
"I'd been laid off from my job a few weeks previously and was asked ""if you hadn't been laid off, would you still be with your former company?"".",Interviewed at Fisher Investments,3.8,Sales/Data Analyst,24 Jun 2014,1
But unfortunately i rejected in writien exam,Interviewed at NTT DATA,3.8,Data Analyst,26 Aug 2023,1
"Questions on Selenium, Java, Agile",Interviewed at Wipro,3.6,Data Analyst,27 Sept 2023,1
How do you optimise dashboard with huge data source,Interviewed at Dyson,3.0,Senior Data Analyst,27 Dec 2023,1
Just HR stuff was aked to me in the interview. No need to panic. It was a chill  interview. They want to check whether you will stay in their company or not after offering the job because of low CTC.,Interviewed at Apexon,4.2,Data Analyst,27 Jul 2015,1
About yourself and company and the job role you are applying for.,Interviewed at Apexon,4.2,Data Analyst,6 Oct 2015,1
How would I present data in a 3 dimensional situation,Interviewed at MongoDB,4.1,Senior Data Analyst,5 Jan 2023,1
Asked to do a presentation,Interviewed at Modernizing Medicine,3.7,Data Analyst,3 Sept 2024,1
What’s your greatest fear about his role?,Interviewed at Sephora,3.8,Data Analyst,23 Nov 2019,1
Tell me about yourself and your background?,Interviewed at Simply Business,3.9,Data Analyst,6 Mar 2023,1
Am I comfortable providing leadership and mentorship to junior members of the team.,Interviewed at Luno,4.4,Senior Data Analyst,9 Jul 2024,1
What do you do if you have two projects and only have time to finish one?,Interviewed at Magnit,3.3,Data Analyst,26 Mar 2018,1
"Situational questions mainly, there was many questions of the form “tell us about a time when...”",Interviewed at American Express,4.1,Data Analyst,24 Jan 2021,1
Write an SQL query to return an average price of specific ids.,Interviewed at Citadel,3.9,Data Analyst,14 Feb 2024,1
how many tennis balls are required to fill a room??,Interviewed at eClerx,3.4,Data Analyst,7 Feb 2017,1
"Wonderlic exam. Questions were asked that were not on the 'Wonderlic' practice exam (found online). Compare proverbs, which mean the same? Which are different? 

I think there were five math questions, which makes no sense since I was interviewing for a Data Analyst position (statistics and computer programming).",Interviewed at Altisource,3.2,Data Analyst,20 Apr 2016,1
Are you familiar with loan level data?,Interviewed at dv01,4.7,Data Analyst,17 Jan 2020,1
Do you prefer routine or diverse daily activities,Interviewed at Caterpillar,4.1,Data Analyst,2 Jun 2017,1
Case study discussing a bank merger,Interviewed at EY,3.7,Data Analyst,23 Jul 2019,1
How to perform unpivot,Interviewed at Neustar,4.1,Data Analyst,22 Jan 2019,1
Q; Case study - what would be my approach to a problem solved previously by the company. The case study was data-analysis-related.,Interviewed at EY,3.7,Junior Data Analyst,29 May 2017,1
Why did you choose to go to the college you did over the other college in your state?,Interviewed at Commerce Bank,3.8,Data Analyst,5 Jan 2023,1
"Basic behavioral. Dropbox has a good rep in the tech industry so I was very surprised to find out how disorganized and unprofessional the recruiting process was. Before you apply for an internship position at Dropbox, I'd advise you to think twice",Interviewed at Dropbox,4.0,Data Analyst Intern,5 Feb 2021,1
Debug a counterintuitive numerical result in a hypothetical company selling caviar/roe subscriptions,Interviewed at Dandy (NY),3.4,Data Analyst,27 Jul 2021,1
"Really, there were no questions. Some really basic behavioural questions (STAR format) and questions about career background/goals. 

The ""technical"" questions were high-level and easily understandable; the second interview was completely unnecessary because a short online evaluation would have sufficed and been better.

I don't believe the interview process was adequate enough to determine how qualified a candidate is and it seemed they were aiming more for someone who ""fits"" into their organization at a more holistic level.  So, ultimately, it was a waste of my time.",Interviewed at Relay (Canada),4.4,Data Analyst,29 Oct 2021,1
Have you worked on SQL?,Interviewed at Uber,3.8,Data Analyst,5 May 2017,1
"If Uber gave you $100,000,000 to develop a new product line, what would you do?",Interviewed at Uber,3.8,Data Analyst,2 Jun 2017,1
tell me about your hobbies.,Interviewed at EXL Service,3.5,Data Analyst,7 Nov 2017,1
why uber? questions about resume,Interviewed at Uber,3.8,Global Data Analyst,10 Nov 2015,1
"It was about my current role, whether if I get along with my managers, my responsibilities, etc.",Interviewed at Axos Bank,3.1,Data Analyst,11 Feb 2023,1
Are you familiar with Google analytics,Interviewed at JFrog,4.1,Support Data Analyst,27 Jun 2022,1
Add up all the numbers between 1 and 99.,Interviewed at 84.51°,3.0,Data Analyst,14 Apr 2018,1
To share a project I am proud of.,Interviewed at AT&T,3.4,Data Analyst,14 Jan 2023,1
Mainly asked what I knew about the requirements of the job and federal regulations.  Spent most of the time walking through my background and related experience.,Interviewed at BMO Financial Group,3.8,Senior Data Analyst,22 Feb 2017,1
Lots of behavior questions and case analysis,Interviewed at Encore Capital Group,4.0,Data Analyst,10 Dec 2014,1
Explain transformers architecture and overall flow during pretraining.,Interviewed at Accertify,3.3,Analyst Data Science,18 Sept 2024,1
"Me preguntaron sobre donde vivo, mis motivaciones",Interviewed at BairesDev,4.1,Data Analyst,5 Dec 2024,1
How much time I need to enter a new job in case of being hired?,Interviewed at BairesDev,4.1,Data Analyst,13 Dec 2024,1
What was a recent experience in my current job?,Interviewed at BairesDev,4.1,Data Analyst,23 Dec 2024,1
What is your salary indication.,Interviewed at Booking.com,4.0,Data Analyst,16 Mar 2022,1
"Do you have legal benefits in your job, like holidays?",Interviewed at BairesDev,4.1,Data Analyst,21 Jan 2025,1
"It says here that you have worked with MySQL. Did you use it only as a database, or did you develop things within MySQL?",Interviewed at BairesDev,4.1,Data Analyst,31 Jan 2025,1
"Besides those, do you know any other programming languages?",Interviewed at BairesDev,4.1,Data Analyst,31 Jan 2025,1
what do you like about your current job,Interviewed at Cotality,4.3,Data Analyst,26 Mar 2010,1
What was the largest team you led?,Interviewed at BairesDev,4.1,Data Analyst,31 Jan 2025,1
How much experience do I have in Data Analysis.,Interviewed at BairesDev,4.1,Data Entry Analyst,19 Mar 2025,1
What kind of joins do you know?,Interviewed at PwC,3.8,Junior Data Analyst,18 Mar 2025,1
data queries using advanced excel and other tools,Interviewed at Gartner,4.0,Data Analyst,18 Sept 2023,1
difference between win10 and win?,Interviewed at Infosys,3.6,Data Analyst,20 Dec 2023,1
How much time I need to enter a new job in case of being hired?,Interviewed at BairesDev,4.1,Data Analyst,13 Dec 2024,1
What was a recent experience in my current job?,Interviewed at BairesDev,4.1,Data Analyst,23 Dec 2024,1
How much experience do I have in Data Analysis.,Interviewed at BairesDev,4.1,Data Entry Analyst,19 Mar 2025,1
What kind of joins do you know?,Interviewed at PwC,3.8,Junior Data Analyst,18 Mar 2025,1
What did you do at your current role?,Interviewed at Insight Global,3.7,Data Analyst,21 Jan 2023,1
Explain the limitations of your approach (for the take home exercise),Interviewed at Oliver Wyman,4.1,Data Analyst,8 Feb 2023,1
Q: Experience with Tableau software and SAS,Interviewed at Fidelity Investments,4.1,Data Analyst,23 Feb 2023,1
How do you manage multiple tasks?,Interviewed at Alight Solutions,3.3,Data Analyst,11 Jul 2022,1
what do you like about your current job,Interviewed at Cotality,4.3,Data Analyst,26 Mar 2010,1
"Me preguntaron sobre donde vivo, mis motivaciones",Interviewed at BairesDev,4.1,Data Analyst,5 Dec 2024,1
"Do you have legal benefits in your job, like holidays?",Interviewed at BairesDev,4.1,Data Analyst,21 Jan 2025,1
What was the largest team you led?,Interviewed at BairesDev,4.1,Data Analyst,31 Jan 2025,1
"It says here that you have worked with MySQL. Did you use it only as a database, or did you develop things within MySQL?",Interviewed at BairesDev,4.1,Data Analyst,31 Jan 2025,1
"Besides those, do you know any other programming languages?",Interviewed at BairesDev,4.1,Data Analyst,31 Jan 2025,1
"They were interested in teamwork experience, people interactions and working under pressure",Interviewed at Deloitte,4.0,Data Analyst,28 Jul 2024,1
Standard types of join with example,Interviewed at Optum,3.5,Senior Data Analyst,4 Dec 2024,1
Q: You wrote on your resume ... Why did you write it?,Interviewed at Deloitte,4.0,Financial Data Analyst,29 May 2023,1
"No questions about actual technical experience was asked.  All questions were very informal with no format. I don't believe they asked me any behavioral questions.   

1.  If we hire you and you finish your degree, will you be leaving this job soon after?",Interviewed at UnitedHealth Group,3.6,Data Analyst,24 Oct 2020,1
"Group Discussion for 30 mins
Technical Round 15 mins",Interviewed at Deloitte,4.0,Data Analyst,17 Oct 2021,1
HW Q1: a series of questions on insurance data from Kaggle.,Interviewed at Insurify,4.1,Data Analyst/Data Scientist,3 Nov 2021,1
Do I plan on continuing with schooling? Where do I see myself in 5 years?,Interviewed at Mount Sinai Health System,3.5,Data Manager/Analyst,25 Jul 2014,1
"How to identify the values for SEX column, say, 1 is Male or Female.",Interviewed at UnitedHealth Group,3.6,Clinical Data Analyst,18 Jul 2014,1
They asked about my experience and what I was working on at my current company at the time.,Interviewed at Acxiom,3.6,Data Analyst,19 Jan 2021,1
